Merged PR #	Skipped PR #	Tag	Comment
	3231		ignorada (deps)
	3250		ignorada (docker)
3248			bugfix
3227			bugfix
3254			bugfix
	3255		ignorada (deps)
3253			feature
3257			bugfix
3259			docs 
3262			bugfix
3251			improv
3229			bugfix
3263			typo
3271			typo
3156			improv
3178			refactor
	3280		ignorada (btcwallet)
3279			improv
	3269		ignorada (docs)
	3285		ignorada (docs)
3246			improv
1933			bugfix
3245			bugfix
3293			doc
	3295		ignorada (docs)
	3294		ignorada (deps)
3238			new feature (chan reserve fields)
3296			typo
2366			new feature (last update time)
3188			refactor
3297			doc
2957			itest fixup
	3284		ignorada (dep)
3306			bugfix
2682			itest fixes
2926			perfm improvement
	3313		ignorada (neutrino)
3314			improv
3298			refactor
3307			api improv
3325			log 
3316			improv
3221			new feature (query mission control)
3165			improv (use full funds to open channels)
3197			improv (zombie channel pruning)
3237			test improv
3330			bugfix
3143			improv
3334			doc
3303			improv
	3338		ignorada (deps)
	3337		ignorada (not wanted)
3339			bugfix
3342			constant change
3345			bugfix
	3344		ignorada (dep)
	3346		ignorada (dep)
	3347		ignorada (mod)
3278			boltdb perf improv
3356			doc
3184			watchtower rpc server
3348			constant change
3359			perfm improvement
3164			feature persistent mission control
3374			log 
	3377		ignorada (pgp key)
3354			feature (peer notifier)
3380			feature (log grpc errors)
3061			perf/feature/rfc update
3379			constant change
3331			lint
3383			bugfix
	3384		ignorada (make)
3355			feature (graph sync status %)
3391			feature/spec compliance
3389			bugfix
1734			improv pruning behavior
3387			more tlv
3400			bugfix
3402			refactor
3256			improv
	3419		ignorada (btcwallet)
3366			improv
3424			bugfix
3406			log 
3362			new feature (tlv in onion)
3372			improv
3059			bugfix
2203			new feature (reject htlc config)
3405			bugfix
3432			spec update
3427			bugfix
3010			itest improv
3434			itest improv
	3456		ignorada (já tem)
3455			err improv
	3438		ignorada (já tem)
	2088		ignorada (dcrd não tem trickle interval)
3433			log and perf improv (autopilot)
3390			track invoice htlcs (pre AMP)
3441			spec update
	1583		ignorada (bitcoind)
3401			improv fee handling
3466			refactor
3449			improv
3475			log fix
3479			bugfix migration
3282			mobile RPCs
3468			refactor
3483			bugfix migration
3465			refactor
3439			bugfix
3486			remove stuff
3484			logging
3488			travis bugfix
3490			log bugfix
3467			new feature (disable rest api)
	3487		ignorada (já tem)
3491			log 
3498			test bugfix
	3501		ignorada (já tem)
3502			error returns
3503			lint
3458			Go 1.13
3485			(partial) only allow migrations from most recent version
3497			log 
3414			spec update
3495			race condition
3496			bugfix
2084			improv
	3521		ignorada (make)
	3522		ignorada (neutrino)
3512			bugfix
3513			lint
3515			build tag
3517			log 
3504			test bugfix
3509			test bugfix
3369			improv
	3524		ignorada (já tem)
3519			docker stuff
3523			spec update
2485			spec update
3505			Bugfix / improv
	3536		ignorada (deps)
3440			new feature (custom route)
	3538		ignorada (não aplica)
3510			test feature (test rbf)
3393			docker stuff
	3543		ignorada (readme)
3534			test refactor
3039			feature (programmable accept channel)
1910			refactor fundingmgr
3540			docs 
3535			refactor
3016			improv (store close tx and republish)
3480			bugfix
	3358		ignorada (neutrino)
3531			improv
3554			improv
3551			bugfix
3481			docker stuff
3566			bugfix
	3567		ignorada (bitcoind)
3562			bugfix
3563			test improv
3571			metrics
3568			spec update
3572			spell
3545			reproducible builds
3573			log 
3561			refactor
3575			disable
3578			improv
3577			build script
3541			lntest 
3360			bugfix
3592			bugfix
3588			docs 
3597			não tinha aplicado as anteriores
3595			bugfix
	3593		ignorada (neutrino)
	3603	v0.8.0	typo (already had)
3532			refactor logging
3564			refactor logging
2352			protobuf bugfix
3557			refactor
3609			new fields in lnrpc
2813			tor addr override
3615			doc
3533			test bugfix
3462			new feature (historical estimation)
3547			bugfix
3569			bugfix
2327			macaroon permissions
1160			feature generate macaroons
3418			perf improvement (routing)
3332			Feature: track peer uptime
3632			bugfix
3634			bugfix
3646			test bugfix
3558			feature (non-strict routing)
	2598		ignorada (docker)
3556			feature (query router prob)
3654			refactor
3653			refactor
3650			dep update
3650			autopilot improv
3633			improv migrations
3470			improv onion decoding
3674			docs 
3442			improv (preparing mpp)
3616			bugfix
	3682		ignorada (Docs)
3664			refactor
